para_1,para_2,result
0.321,0.15,0.002792356
0.047,0.062,3.102904865
0.408,0.121,0.042729339
0.325,0.056,4.084915216
0.179,0.153,0.0021678
0.25,0.004,31.18636608
0.102,0.199,3.40E-06
0.154,0.129,0.02403854
0.135,0.032,14.86650405
0.414,0.062,2.817859207
0.075,0.08,1.050206751
0.016,0.02,23.85167594
0.321,0.04,9.856576613
0.272,0.121,0.044883645
0.471,0.002,30.93474532
0.056,0.175,0.000251006
0.144,0.032,14.84279387
0.319,0.096,0.332665268
0.036,0.075,1.445281041
0.176,0.075,1.386837198
0.467,0.05,5.560993859
0.268,0.116,0.070476141
0.123,0.055,4.544025822
0.256,0.053,4.929531437
0.183,0.014,27.21826003
0.441,0.161,0.000886338
0.15,0.171,0.000340356
0.062,0.004,31.68262708
0.456,0.124,0.033773362
0.161,0.165,0.000679982
0.424,0.1,0.238467117
0.128,0.011,29.02070622
0.258,0.084,0.769555201
0.099,0.122,0.045851185
0.04,0.064,2.768797627
0.326,0.063,2.719687231
0.172,0.12,0.051029608
0.151,0.077,1.236123263
0.39,0.054,4.509716999
0.066,0.113,0.097932294
0.198,0.096,0.346406805
0.383,0.152,0.002223927
0.062,0.129,0.024862049
0.027,0.028,17.66481406
0.121,0.083,0.856561436
0.116,0.143,0.006630855
0.015,0.084,0.830538358
0.26,0.151,0.002580197
0.471,0.035,12.2353799
0.35,0.136,0.011707087
0.389,0.113,0.08732169
0.047,0.081,0.994884558
0.485,0.033,13.37579088
0.436,0.196,4.68E-07
0.499,0.161,0.000867277
0.455,0.044,7.773983837
0.363,0.19,2.87E-06
0.421,0.1,0.238710716
0.195,0.042,9.12249679
0.189,0.151,0.002649528
0.315,0.065,2.425134532
0.181,0.076,1.302697056
0.396,0.173,0.000260351
0.033,0.192,8.50E-07
0.466,0.127,0.025716749
0.027,0.101,0.253073227
0.098,0.02,23.58263008
0.103,0.085,0.757353365
0.102,0.157,0.001490242
0.435,0.076,1.208009446
0.387,0.12,0.047219411
0.153,0.015,26.71204892
0.018,0.055,4.661607584
0.019,0.001,32.16590474
0.441,0.056,3.969941978
0.162,0.129,0.023968234
0.28,0.18,5.00E-05
0.028,0.132,0.019121342
0.195,0.038,11.19129429
0.067,0.12,0.053000648
0.252,0.06,3.302677689
0.164,0.087,0.651702033
0.202,0.137,0.011265288
0.121,0.022,22.09139703
0.034,0.167,0.000598395
0.486,0.108,0.123224122
0.429,0.116,0.066531831
0.418,0.18,4.75E-05
0.421,0.108,0.12606146
0.155,0.159,0.001199062
0.282,0.155,0.001703319
0.154,0.098,0.303423677
0.089,0.188,7.47E-06
0.422,0.199,3.02E-06
0.433,0.073,1.453142775
0.121,0.083,0.856561436
0.105,0.19,3.16E-06
0.246,0.081,0.935768189
0.4,0.105,0.162666597
0.112,0.185,1.82E-05
0.178,0.199,3.31E-06
0.327,0.189,4.58E-06
0.388,0.163,0.00074905
0.206,0.039,10.62086797
0.041,0.089,0.593528692
0.414,0.059,3.358205349
0.344,0.127,0.026888012
0.36,0.039,10.30353631
0.354,0.131,0.018599838
0.131,0.174,0.000265222
0.121,0.079,1.102095324
0.344,0.05,5.71986645
0.373,0.091,0.465139093
0.017,0.035,13.3117874
0.174,0.173,0.000283009
0.268,0.128,0.025250369
0.355,0.187,9.43E-06
0.441,0.199,3.00E-06
0.077,0.085,0.763596712
0.038,0.014,27.6787459
0.36,0.096,0.328133845
0.266,0.065,2.45748814
0.437,0.17,0.000335309
0.364,0.124,0.034921265
0.093,0.128,0.026918733
0.084,0.131,0.020537938
0.435,0.076,1.208009446
0.459,0.12,0.046008107
0.336,0.161,0.000921918
0.174,0.097,0.324696382
0.429,0.11,0.110435107
0.345,0.169,0.000381255
0.236,0.194,1.47E-08
0.228,0.017,25.19992466
0.139,0.012,28.4750129
0.399,0.062,2.828979091
0.481,0.012,27.44213399
0.294,0.122,0.04272611
0.457,0.092,0.422274855
0.443,0.116,0.06619946
0.278,0.078,1.118494806
0.061,0.109,0.131389501
0.428,0.199,3.01E-06
0.357,0.103,0.193592778
0.467,0.075,1.272809112
0.209,0.057,3.969246309
0.081,0.184,2.36E-05
0.33,0.081,0.911881349
0.478,0.034,12.80406282
0.181,0.097,0.323933579
0.4,0.088,0.56533944
0.442,0.164,0.000669293
0.25,0.053,4.936564547
0.147,0.083,0.849644018
0.027,0.171,0.000356458
0.375,0.08,0.958159835
0.024,0.139,0.009974743
0.049,0.067,2.31860336
0.24,0.149,0.003189392
0.216,0.093,0.426252787
0.288,0.2,4.52E-06
0.133,0.128,0.026527927
0.387,0.055,4.261329036
0.347,0.089,0.537656521
0.468,0.196,4.63E-07
0.015,0.072,1.741691951
0.12,0.114,0.088267544
0.345,0.116,0.068561376
0.162,0.071,1.77260732
0.164,0.047,7.032258974
0.094,0.02,23.59568255
0.486,0.001,30.9784561
0.115,0.059,3.623657727
0.214,0.183,2.79E-05
0.044,0.08,1.060208496
0.174,0.109,0.126275552
0.372,0.055,4.276909946
0.065,0.005,31.45390489
0.421,0.108,0.12606146
0.096,0.083,0.863265836
0.341,0.054,4.563169659
0.319,0.121,0.044127132
0.02,0.092,0.487398131
0.415,0.158,0.001199076
0.385,0.047,6.698071919
0.216,0.112,0.100946039
0.168,0.074,1.477153035
0.074,0.025,19.26686156
0.413,0.06,3.168724184
0.184,0.152,0.002395589
0.428,0.139,0.008588786
0.374,0.027,17.25707566
0.21,0.015,26.53060972
0.334,0.156,0.001509511
0.408,0.005,30.54000951
0.476,0.038,10.59744792
0.399,0.144,0.005440878
0.192,0.081,0.95145353
0.098,0.199,3.41E-06
0.204,0.089,0.563080096
